"SID","SName","SCity","Address","Risk"
1958,"ООО ""Петрикофф""     ",Владивосток         ,Обухова 25                                        ,1
1968,"ООО ""ВиК-инжиниринг""",Челябинск           ,Отечественная 34                                  ,3
1978,СлавКабель          ,Ижевск              ,Пархоменко 15                                     ,1
1988,"ГК ""ФизТех""         ",Екатеринбург        ,Рабоче-Крестьянская 17                            ,2
1998,Мотэк-99            ,Красноярск          ,Садовая 27                                        ,3
2004,Viva                ,Барнаул             ,Севастопольская 9                                 ,2
2015,ИП Кахраманов Э.Б.  ,Самара              ,Смирных 25                                        ,3
2023,Янус                ,Красноярск          ,Станиславского 19                                 ,1
2032,Viva                ,Иркутск             ,Толбухина 14                                      ,1
2041,Мегаком             ,Казань              ,Тульская 23                                       ,3
2051,Янус                ,Краснодар           ,Ульяновский 32                                    ,3
2061,ВАЛСИ               ,Санкт-Петербург     ,Халтурина 4                                       ,3
2071,ИП Кахраманов Э.Б.  ,Волгоград           ,Цвиллинга 15                                      ,2
2081,"ООО ""ИРБИС-ВЕНТ""    ",Тюмень              ,Челябинского Рабочего 46                          ,1
2091,"ООО ""Абсолют""       ",Казань              ,Шахтстроевская 18                                 ,1
2101,ИП Лебедева И.С.    ,Краснодар           ,Шота Руставели 31                                 ,2
2120,"ГК ""Эталон""         ",Уфа                 ,Авиационная 40                                    ,2
2130,"ООО ""Эльтадор-М""    ",Ульяновск           ,Аральская 7                                       ,1
2135,Янус                ,Москва              ,Барабинская 11                                    ,3
2145,ВАЛСИ               ,Уфа                 ,Василевского 34                                   ,3
2156,"ГК ""ФизТех""         ",Тюмень              ,Гвардейская 45                                    ,1
2167,"ООО ""Сварожич""      ",Омск                ,Долинская 39                                      ,1
2179,Палекс              ,Барнаул             ,Житомирская 8                                     ,2
2185,ИП Лебедева И.С.    ,Москва              ,Запорожская 41                                    ,3
2194,Мотэк-99            ,Ростов-на-Дону      ,Иртышская 13                                      ,2
2206,"ООО ""МТА""           ",Тюмень              ,Коммуны 44                                        ,3
2217,Зет-Стоун           ,Омск                ,Красного Урала 31                                 ,2
1188,Русинтек            ,Москва              ,Молодогвардейцев 41                               ,2
1197,e-Volt              ,Ростов-на-Дону      ,Новосельская 22                                   ,1
1735,ИП Кахраманов Э.Б.  ,Москва              ,Трубников 27                                      ,2
1745,"ООО ""ИРБИС-ВЕНТ""    ",Уфа                 ,Ударная 6                                         ,3
1755,"ООО ""Абсолют""       ",Ульяновск           ,Физкультурная 27                                  ,1
1766,"ООО ""Эльтадор-М""    ",Казань              ,Хуторная 17                                       ,3
1775,"ООО ""Сварожич""      ",Саратов             ,Чарчана 7                                         ,1
1784,"ГК ""Эталон""         ",Ярославль           ,Чичерина 13                                       ,1
1792,"ГК ""ФизТех""         ",Омск                ,Шестая 12                                         ,1
1801,"ООО ""ИРБИС-ВЕНТ""    ",Краснодар           ,Щукина 37                                         ,3
1820,"ГК ""ФизТех""         ",Уфа                 ,Агалакова 44                                      ,3
1832,"ООО ""Слог""          ",Иркутск             ,Барабинская 35                                    ,2
1841,Кварц               ,Казань              ,Васенко 45                                        ,1
1852,Русинтек            ,Тольятти            ,Гагарина 29                                       ,1
1862,Феникс              ,Новосибирск         ,Гусеничный 3                                      ,2
1877,ИП Лебедева И.С.    ,Тольятти            ,Жукова 32                                         ,3
1886,Мотэк-99            ,Санкт-Петербург     ,Знаменская 43                                     ,2
1895,"ООО ""Абсолют""       ",Уфа                 ,Каменогорская 45                                  ,1
1907,"ООО ""Самоходов""     ",Иркутск             ,Корундовая 35                                     ,1
1916,"ООО ""Слог""          ",Казань              ,Краснокамская 41                                  ,2
1924,"ГК ""Эталон""         ",Воронеж             ,Лесопарковая 50                                   ,2
1937,Зет-Стоун           ,Новосибирск         ,Макарова 26                                       ,3
1943,"ООО ""Сварожич""      ",Челябинск           ,Молодогвардейцев 11                               ,1
1955,Палекс              ,Ульяновск           ,Образцова 23                                      ,2
1966,Синапсис            ,Казань              ,Островского 23                                    ,2
1979,"ООО ""Абсолют""       ",Барнаул             ,Пекинская 1                                       ,1
1986,"ООО ""Петрикофф""     ",Санкт-Петербург     ,Пушкина 18                                        ,1
1993,Зет-Стоун           ,Челябинск           ,Ростовская 22                                     ,2
2005,ВАЛСИ               ,Ульяновск           ,Северная 36                                       ,1
2016,"ГК ""ФизТех""         ",Казань              ,Смолеозерная 39                                   ,3
2026,Мотэк-99            ,Краснодар           ,Танкистов 32                                      ,2
2036,"ГК ""Эталон""         ",Санкт-Петербург     ,Троицкая 49                                       ,2
2047,"ООО ""Самоходов""     ",Пермь               ,Угольная 38                                       ,2
2056,"ООО ""Слог""          ",Тюмень              ,Учебная 43                                        ,1
2064,"ГК ""Эталон""         ",Новгород            ,Химфармзавод 36                                   ,1
2074,"ООО ""Эльтадор-М""    ",Воронеж             ,Цинковая 9                                        ,2
2086,Феникс              ,Санкт-Петербург     ,Чистопольская 32                                  ,2
2095,Палекс              ,Уфа                 ,Шестая 32                                         ,1
2105,Зет-Стоун           ,Ульяновск           ,Энгельса 44                                       ,1
2112,"ООО ""Слог""          ",Новосибирск         ,Южноуральская 6                                   ,1
2127,ИП Кахраманов Э.Б.  ,Тольятти            ,Андижанская 16                                    ,2
2133,Зет-Стоун           ,Владивосток         ,Артиллерийская 49                                 ,2
2151,Палекс              ,Краснодар           ,Восход 23                                         ,1
2161,Зет-Стоун           ,Санкт-Петербург     ,Гидрострой 8                                      ,1
2173,ВАЛСИ               ,Красноярск          ,Ереванская 10                                     ,2
2183,ИП Кахраманов Э.Б.  ,Владивосток         ,Завалишина 42                                     ,3
2193,"ООО ""ИРБИС-ВЕНТ""    ",Челябинск           ,Инженерная 19                                     ,2
2203,"ООО ""Абсолют""       ",Ижевск              ,Катерная 20                                       ,3
2213,ИП Лебедева И.С.    ,Екатеринбург        ,Котина 44                                         ,1
2223,"ООО ""Сварожич""      ",Красноярск          ,Краснофлотская 1                                  ,2
1190,Синапсис            ,Новосибирск         ,Мопра 22                                          ,3
1198,Феникс              ,Уфа                 ,Новоэлеваторная 22                                ,1
1741,Зет-Стоун           ,Казань              ,Тургоякская 47                                    ,1
1750,Феникс              ,Ярославль           ,Уральская 37                                      ,1
1762,"ООО ""Петрикофф""     ",Новосибирск         ,Хлебозаводская 25                                 ,2
1771,Янус                ,Волгоград           ,Цинковая 48                                       ,2
1786,"ООО ""МТА""           ",Санкт-Петербург     ,Чукотская 32                                      ,1
1796,Русинтек            ,Волгоград           ,Школьная 19                                       ,3
1805,e-Volt              ,Ульяновск           ,Эстонская 44                                      ,2
1817,Мегаком             ,Омск                ,Авиационная 47                                    ,3
1824,Русинтек            ,Воронеж             ,Андижанская 23                                    ,3
1834,Феникс              ,Ярославль           ,Барбюса 17                                        ,2
1844,ИП Карачаров В.В.   ,Ростов-на-Дону      ,Вахтангова 19                                     ,2
1854,Синапсис            ,Барнаул             ,Генераторный 2                                    ,1
1866,СлавКабель          ,Казань              ,Дружбы 16                                         ,2
1873,Мегаком             ,Красноярск          ,Железнодорожная 30                                ,1
1883,Янус                ,Владивосток         ,Заслонова 36                                      ,2
1894,СлавКабель          ,Ростов-на-Дону      ,Кадиевская 38                                     ,3
1903,ИП Кахраманов Э.Б.  ,Ижевск              ,Коммуны 15                                        ,3
1912,"ООО ""ВиК-инжиниринг""",Новосибирск         ,Красная 10                                        ,1
1923,"ООО ""Абсолют""       ",Красноярск          ,Лермонтова 2                                      ,1
1932,"ГК ""ФизТех""         ",Иркутск             ,Лучевой 47                                        ,3
1946,Феникс              ,Волгоград           ,Морозова 27                                       ,3
1954,"ООО ""МТА""           ",Барнаул             ,Нязепетровская 1                                  ,3
1961,ИП Лебедева И.С.    ,Санкт-Петербург     ,Овчинникова 43                                    ,3
1971,"ООО ""Сварожич""      ",Волгоград           ,Павлоградская 42                                  ,3
1984,ИП Карачаров В.В.   ,Ярославль           ,Пусковой 35                                       ,2
1994,Синапсис            ,Ростов-на-Дону      ,Румянцева 25                                      ,2
2003,Райдос              ,Ижевск              ,Севанская 34                                      ,3
2012,ИП Карачаров В.В.   ,Новосибирск         ,Сиреневая 47                                      ,3
2021,Зет-Стоун           ,Волгоград           ,Сталеваров 48                                     ,3
2031,Райдос              ,Тюмень              ,Титановая 32                                      ,1
2042,"ООО ""Петрикофф""     ",Омск                ,Турбинная 1                                       ,3
2053,"ООО ""ИРБИС-ВЕНТ""    ",Ижевск              ,Уральская 44                                      ,1
2062,СлавКабель          ,Новосибирск         ,Харлова 17                                        ,3
2072,"ГК ""ФизТех""         ",Пермь               ,Центральная 27                                    ,2
2083,"ООО ""Сварожич""      ",Владивосток         ,Черкасская 17                                     ,1
2093,Кварц               ,Челябинск           ,Шенкурская 45                                     ,3
2103,"ООО ""Самоходов""     ",Ижевск              ,Щорса 41                                          ,2
2114,Феникс              ,Новгород            ,Яблочкина 11                                      ,3
2123,Палекс              ,Красноярск          ,Агалакова 45                                      ,2
2132,Русинтек            ,Иркутск             ,Артема 35                                         ,1
2142,Феникс              ,Омск                ,Валовая 18                                        ,3
2152,ИП Карачаров В.В.   ,Тольятти            ,Выборгская 29                                     ,2
2162,Синапсис            ,Новосибирск         ,Грибоедова 26                                     ,3
2172,Viva                ,Пермь               ,Еманжелинская 30                                  ,2
2182,"ООО ""Петрикофф""     ",Иркутск             ,Заболотная 11                                     ,2
2192,"ООО ""ВиК-инжиниринг""",Омск                ,Ильича 10                                         ,3
2202,СлавКабель          ,Тольятти            ,Карпенко 49                                       ,3
2210,"ООО ""Петрикофф""     ",Москва              ,Корундовая 33                                     ,1
2219,Янус                ,Ростов-на-Дону      ,Краснокамская 6                                   ,3
1189,Зет-Стоун           ,Санкт-Петербург     ,Монакова 9                                        ,1
1199,Райдос              ,Волгоград           ,Нязепетровская 8                                  ,1
1747,"ООО ""Сварожич""      ",Пермь               ,Ульяновская 9                                     ,3
1757,Кварц               ,Иркутск             ,Хабаровский 3                                     ,3
1767,"ООО ""Самоходов""     ",Омск                ,Цветущая 21                                       ,2
1777,e-Volt              ,Тольятти            ,Чебаркульская 42                                  ,2
1788,ИП Карачаров В.В.   ,Екатеринбург        ,Шахтстроевская 24                                 ,1
1797,Зет-Стоун           ,Пермь               ,Шлюзовая 14                                       ,2
1807,Райдос              ,Иркутск             ,Южная 41                                          ,2
1815,Палекс              ,Самара              ,Ярославская 48                                    ,3
1823,"ООО ""Самоходов""     ",Красноярск          ,Ангарская 27                                      ,2
1833,e-Volt              ,Владивосток         ,Барановическая 48                                 ,3
1843,Палекс              ,Челябинск           ,Ватутина 14                                       ,3
1853,Зет-Стоун           ,Ижевск              ,Гвардейская 32                                    ,1
1863,Райдос              ,Екатеринбург        ,Гюго 33                                           ,1
1879,"ООО ""Самоходов""     ",Барнаул             ,Заболотная 14                                     ,1
1889,e-Volt              ,Новгород            ,Ильича 49                                         ,2
1898,"ООО ""МТА""           ",Красноярск          ,Карельская 13                                     ,3
1904,"ГК ""ФизТех""         ",Барнаул             ,Комсомольская 5                                   ,3
1914,Мотэк-99            ,Новгород            ,Красного Урала 19                                 ,3
1921,ВАЛСИ               ,Волгоград           ,Ленина 4                                          ,3
1931,ИП Кахраманов Э.Б.  ,Тюмень              ,Лунная 4                                          ,3
1941,"ООО ""ИРБИС-ВЕНТ""    ",Казань              ,Марченко 30                                       ,2
1951,"ООО ""Абсолют""       ",Краснодар           ,Новороссийская 5                                  ,2
1960,"ГК ""ФизТех""         ",Москва              ,Овражный 50                                       ,1
1970,Мотэк-99            ,Уфа                 ,Павлова 13                                        ,2
1980,"ГК ""Эталон""         ",Ульяновск           ,Первоконная 26                                    ,3
1990,"ООО ""Эльтадор-М""    ",Ярославль           ,Родькина 47                                       ,1
2000,"ООО ""Слог""          ",Саратов             ,Светлая 39                                        ,3
2010,"ООО ""МТА""           ",Москва              ,Сеченова 38                                       ,1
2020,Русинтек            ,Уфа                 ,Ставропольская 4                                  ,1
2029,e-Volt              ,Барнаул             ,Тепличная 24                                      ,1
2040,ИП Карачаров В.В.   ,Самара              ,Трудовая 14                                       ,2
2050,Зет-Стоун           ,Воронеж             ,Украинская 19                                     ,1
2058,Феникс              ,Владивосток         ,Физкультурная 19                                  ,2
2069,Мегаком             ,Ростов-на-Дону      ,Хуторная 17                                       ,2
2079,Янус                ,Барнаул             ,Часовая 14                                        ,3
2088,Viva                ,Екатеринбург        ,Чоппа 19                                          ,2
2100,"ГК ""ФизТех""         ",Саратов             ,Шлюзовая 25                                       ,3
2108,"ООО ""ВиК-инжиниринг""",Владивосток         ,Эстонская 36                                      ,3
2116,Viva                ,Казань              ,Якутская 10                                       ,1
2129,ИП Лебедева И.С.    ,Барнаул             ,Аптечная 31                                       ,2
2136,"ООО ""ВиК-инжиниринг""",Санкт-Петербург     ,Барановическая 22                                 ,1
2150,"ООО ""МТА""           ",Саратов             ,Витебская 33                                      ,1
2154,"ООО ""Петрикофф""     ",Барнаул             ,Вязовой 31                                        ,3
2169,e-Volt              ,Ростов-на-Дону      ,Дружбы 20                                         ,1
2177,Кварц               ,Тольятти            ,Животноводческая 28                               ,1
2190,Синапсис            ,Самара              ,Зыкова 13                                         ,1
2200,Viva                ,Саратов             ,Камышовая 36                                      ,2
2208,ИП Карачаров В.В.   ,Владивосток         ,Копейское 28                                      ,2
2215,"ООО ""Самоходов""     ",Самара              ,Красная 31                                        ,2
1191,Янус                ,Екатеринбург        ,Морозова 10                                       ,3
1765,ИП Лебедева И.С.    ,Самара              ,Худякова 43                                       ,2
1774,Мотэк-99            ,Воронеж             ,Чапаева 1                                         ,1
1781,ВАЛСИ               ,Тюмень              ,Черняховского 41                                  ,1
1795,"ООО ""Самоходов""     ",Уфа                 ,Шишкина 31                                        ,2
1803,"ООО ""Сварожич""      ",Ижевск              ,Энергетиков 9                                     ,3
1812,"ГК ""Эталон""         ",Новосибирск         ,Якорная 36                                        ,2
1822,"ООО ""Эльтадор-М""    ",Пермь               ,Анапский 23                                       ,1
1831,"ООО ""Сварожич""      ",Тюмень              ,Бажова 37                                         ,3
1842,"ООО ""МТА""           ",Омск                ,Василевского 47                                   ,2
1851,"ООО ""Самоходов""     ",Краснодар           ,Вязовой 35                                        ,3
1861,e-Volt              ,Санкт-Петербург     ,Грозненская 28                                    ,1
1871,Палекс              ,Волгоград           ,Железная 32                                       ,1
1884,"ООО ""ВиК-инжиниринг""",Ярославль           ,Захаренко 16                                      ,1
1893,ВАЛСИ               ,Челябинск           ,Кавказская 29                                     ,2
1905,ИП Лебедева И.С.    ,Ульяновск           ,Копейское 26                                      ,1
1911,Янус                ,Санкт-Петербург     ,Кошевого 40                                       ,2
1927,Палекс              ,Тольятти            ,Литовская 50                                      ,3
1936,Русинтек            ,Санкт-Петербург     ,Майкова 15                                        ,3
1947,Райдос              ,Пермь               ,Московская 11                                     ,1
1956,ИП Карачаров В.В.   ,Тюмень              ,Обская 8                                          ,1
1964,Русинтек            ,Новгород            ,Оренбургская 2                                    ,3
1973,e-Volt              ,Красноярск          ,Парашютная 21                                     ,3
1982,"ООО ""МТА""           ",Иркутск             ,Псковская 14                                      ,2
1992,Русинтек            ,Омск                ,Российская 9                                      ,1
2001,e-Volt              ,Краснодар           ,Свободы 49                                        ,2
2011,Палекс              ,Санкт-Петербург     ,Силикатная 32                                     ,1
2022,Синапсис            ,Пермь               ,Сталелитейная 42                                  ,2
2034,СлавКабель          ,Ярославль           ,Трактовая 24                                      ,3
2044,"ГК ""ФизТех""         ",Ростов-на-Дону      ,Тургоякская 21                                    ,2
2055,"ООО ""Сварожич""      ",Ульяновск           ,Успенского 23                                     ,2
2067,Палекс              ,Омск                ,Хрустальная 1                                     ,2
2077,Зет-Стоун           ,Тольятти            ,Чапаева 37                                        ,3
2087,Райдос              ,Новосибирск         ,Чичерина 24                                       ,2
2097,Мегаком             ,Пермь               ,Ширшова 41                                        ,2
2107,Янус                ,Иркутск             ,Энтузиастов 16                                    ,2
2119,"ООО ""Абсолют""       ",Ростов-на-Дону      ,Августовская 37                                   ,1
2126,"ООО ""Петрикофф""     ",Краснодар           ,Ангарская 5                                       ,3
2134,Синапсис            ,Ярославль           ,Бажова 47                                         ,1
2147,"ООО ""Абсолют""       ",Пермь               ,Вахтангова 32                                     ,2
2159,"ООО ""Самоходов""     ",Ярославль           ,Героическая 11                                    ,2
2164,"ООО ""ВиК-инжиниринг""",Новгород            ,Грозненская 22                                    ,1
2181,Мегаком             ,Тюмень              ,Жуковского 40                                     ,1
2191,Янус                ,Казань              ,Ижевская 46                                       ,1
2199,Райдос              ,Воронеж             ,Каменская 35                                      ,2
2211,ИП Кахраманов Э.Б.  ,Санкт-Петербург     ,Косарева 32                                       ,1
2218,Синапсис            ,Челябинск           ,Краснознаменная 33                                ,3
2227,Райдос              ,Тольятти            ,Лесопарковая 27                                   ,1
2231,"ООО ""Абсолют""       ",Тюмень              ,Ломоносова 1                                      ,1
2232,"ГК ""Эталон""         ",Иркутск             ,Луганская 11                                      ,3
2234,"ООО ""МТА""           ",Ярославль           ,Лунная 13                                         ,3
1193,"ООО ""ИРБИС-ВЕНТ""    ",Самара              ,Нахимова 31                                       ,1
2214,"ООО ""Эльтадор-М""    ",Новгород            ,Кошевого 35                                       ,2
2225,e-Volt              ,Саратов             ,Ленинградская 26                                  ,1
2230,СлавКабель          ,Ярославль           ,Литовская 31                                      ,1
2235,Палекс              ,Москва              ,Лучевой 30                                        ,1
2233,Кварц               ,Владивосток         ,Луначарского 25                                   ,3
2237,Мегаком             ,Новосибирск         ,Люблинская 20                                     ,2
2238,"ООО ""Петрикофф""     ",Екатеринбург        ,Магнитогорская 7                                  ,1
2239,ИП Кахраманов Э.Б.  ,Новгород            ,Майкова 46                                        ,3
2236,ИП Карачаров В.В.   ,Санкт-Петербург     ,Львовская 20                                      ,1
2241,ИП Лебедева И.С.    ,Казань              ,Малиновая 37                                      ,1
2242,"ООО ""Эльтадор-М""    ",Омск                ,Мамина 31                                         ,3
2240,"ГК ""ФизТех""         ",Самара              ,Макарова 24                                       ,1
2243,"ООО ""Самоходов""     ",Челябинск           ,Марата 17                                         ,2
2245,Зет-Стоун           ,Уфа                 ,Мира 2                                            ,3
2244,Русинтек            ,Ростов-на-Дону      ,Марченко 39                                       ,2
2246,Синапсис            ,Волгоград           ,Молодогвардейцев 43                               ,3
2247,Янус                ,Пермь               ,Монакова 7                                        ,3
2248,"ООО ""ВиК-инжиниринг""",Красноярск          ,Мопра 24                                          ,1
2251,"ООО ""Сварожич""      ",Краснодар           ,Нахимова 36                                       ,3
2250,Мотэк-99            ,Саратов             ,Московская 1                                      ,2
2249,"ООО ""ИРБИС-ВЕНТ""    ",Воронеж             ,Морозова 17                                       ,3
2252,"ООО ""Слог""          ",Тольятти            ,Национальная 7                                    ,1
2254,Феникс              ,Барнаул             ,Новороссийская 36                                 ,1
2253,e-Volt              ,Ижевск              ,Новозаводская 20                                  ,1
2255,Райдос              ,Ульяновск           ,Новосельская 35                                   ,3
2257,ВАЛСИ               ,Иркутск             ,Нязепетровская 5                                  ,3
2258,СлавКабель          ,Владивосток         ,Образцова 37                                      ,1
2256,Viva                ,Тюмень              ,Новоэлеваторная 25                                ,1
2259,"ООО ""Абсолют""       ",Ярославль           ,Обская 45                                         ,3
2262,"ООО ""МТА""           ",Новосибирск         ,Общественная 48                                   ,2
2260,"ГК ""Эталон""         ",Москва              ,Обский 44                                         ,1
2261,Кварц               ,Санкт-Петербург     ,Обухова 39                                        ,3
2263,Палекс              ,Екатеринбург        ,Овражный 35                                       ,2
2264,ИП Карачаров В.В.   ,Новгород            ,Овчинникова 39                                    ,1
2265,Мегаком             ,Самара              ,Октябрьская 48                                    ,1
2268,"ГК ""ФизТех""         ",Челябинск           ,Орловская 48                                      ,1
2266,"ООО ""Петрикофф""     ",Казань              ,Орджоникидзе 44                                   ,2
2267,ИП Кахраманов Э.Б.  ,Омск                ,Оренбургская 20                                   ,1
2269,ИП Лебедева И.С.    ,Ростов-на-Дону      ,Островского 40                                    ,2
2271,"ООО ""Самоходов""     ",Волгоград           ,Отечественная 14                                  ,1
2270,"ООО ""Эльтадор-М""    ",Уфа                 ,Отдыха 32                                         ,2
2272,Русинтек            ,Пермь               ,Павелецкая 31                                     ,3
2273,Зет-Стоун           ,Красноярск          ,Павлова 29                                        ,1
2274,Синапсис            ,Воронеж             ,Павлоградская 21                                  ,2
2276,"ООО ""ВиК-инжиниринг""",Краснодар           ,Парашютная 20                                     ,3
2275,Янус                ,Саратов             ,Пальмовая 37                                      ,3
2277,"ООО ""ИРБИС-ВЕНТ""    ",Тольятти            ,Парковая 38                                       ,3
2278,Мотэк-99            ,Ижевск              ,Паровозная 42                                     ,2
2279,"ООО ""Сварожич""      ",Барнаул             ,Паросиловой 23                                    ,1
2281,e-Volt              ,Тюмень              ,Пархоменко 32                                     ,2
1213,"ООО ""ИРБИС-ВЕНТ""    ",Екатеринбург        ,Авторемонтная 4                                   ,3
1229,Мегаком             ,Барнаул             ,Братьев Кашириных 1                               ,2
1238,Синапсис            ,Екатеринбург        ,Вахтангова 14                                     ,3
1242,Мотэк-99            ,Омск                ,Восход 50                                         ,3
1254,"ООО ""МТА""           ",Барнаул             ,Гродненская 37                                    ,2
1268,"ООО ""ВиК-инжиниринг""",Челябинск           ,Животноводческая 11                               ,3
1280,"ГК ""Эталон""         ",Ульяновск           ,Знаменская 47                                     ,2
1287,ИП Кахраманов Э.Б.  ,Новосибирск         ,Кавказская 20                                     ,3
1298,Мотэк-99            ,Красноярск          ,Комсомольская 42                                  ,2
1308,"ГК ""Эталон""         ",Владивосток         ,Красного Урала 21                                 ,1
1321,Зет-Стоун           ,Волгоград           ,Литовская 31                                      ,2
1328,"ООО ""Слог""          ",Ижевск              ,Люблинская 15                                     ,2
1339,Палекс              ,Новгород            ,Мопра 36                                          ,2
1350,Синапсис            ,Саратов             ,Обская 3                                          ,3
1362,СлавКабель          ,Новосибирск         ,Отечественная 19                                  ,3
1372,"ГК ""ФизТех""         ",Пермь               ,Пархоменко 23                                     ,2
1382,Мотэк-99            ,Иркутск             ,Рабоче-Крестьянская 26                            ,2
1394,"ООО ""МТА""           ",Ростов-на-Дону      ,Светлая 18                                        ,2
1404,Русинтек            ,Барнаул             ,Сеченова 7                                        ,3
1414,Феникс              ,Новгород            ,Ставропольская 22                                 ,2
1426,"ООО ""Петрикофф""     ",Краснодар           ,Толбухина 31                                      ,1
1436,"ООО ""ВиК-инжиниринг""",Санкт-Петербург     ,Турбинная 50                                      ,3
1446,СлавКабель          ,Волгоград           ,Университетская Набережная 47                     ,3
1455,ИП Кахраманов Э.Б.  ,Ульяновск           ,Халтурина 2                                       ,3
1465,"ООО ""ИРБИС-ВЕНТ""    ",Самара              ,Цвиллинга 33                                      ,1
1473,ВАЛСИ               ,Красноярск          ,Часовая 39                                        ,1
1482,"ООО ""Петрикофф""     ",Иркутск             ,Чоппа 23                                          ,3
1494,Мотэк-99            ,Ростов-на-Дону      ,Шлюзовая 34                                       ,3
1503,"ООО ""Абсолют""       ",Ижевск              ,Эстонский 17                                      ,3
1515,"ООО ""Самоходов""     ",Самара              ,Автомобильная 26                                  ,1
1526,Феникс              ,Краснодар           ,Артема 43                                         ,3
1536,ИП Карачаров В.В.   ,Санкт-Петербург     ,Валовая 49                                        ,2
1546,Синапсис            ,Волгоград           ,Выборгская 24                                     ,3
1556,Viva                ,Тюмень              ,Грибоедова 13                                     ,1
1565,Мегаком             ,Самара              ,Елькина 46                                        ,2
1573,Зет-Стоун           ,Красноярск          ,Житомирская 49                                    ,1
1584,Viva                ,Ярославль           ,Зыкова 26                                         ,3
1594,"ООО ""Петрикофф""     ",Ростов-на-Дону      ,Камышовая 12                                      ,2
1608,"ООО ""Слог""          ",Владивосток         ,Кошевого 40                                       ,1
1614,СлавКабель          ,Новгород            ,Краснооктябрьская 36                              ,3
1625,ИП Лебедева И.С.    ,Саратов             ,Ломоносова 21                                     ,2
1635,"ООО ""Сварожич""      ",Москва              ,Малиновая 45                                      ,3
1649,Мегаком             ,Воронеж             ,Новосельская 21                                   ,2
1657,Зет-Стоун           ,Иркутск             ,Овражный 7                                        ,2
1666,Феникс              ,Казань              ,Павелецкая 32                                     ,2
1675,Палекс              ,Саратов             ,Пархоменко 3                                      ,1
1686,Синапсис            ,Санкт-Петербург     ,Радистов 41                                       ,2
1695,Райдос              ,Уфа                 ,Садовая 19                                        ,3
1705,Мегаком             ,Ульяновск           ,Серова 29                                         ,3
1715,Янус                ,Самара              ,Спасская 33                                       ,1
1725,ВАЛСИ               ,Саратов             ,Телеграфная 19                                    ,2
1212,"ООО ""ВиК-инжиниринг""",Новосибирск         ,Автомобильная 34                                  ,2
1222,СлавКабель          ,Пермь               ,Аргаяшская 42                                     ,3
1237,Зет-Стоун           ,Новосибирск         ,Ватутина 24                                       ,2
1245,e-Volt              ,Уфа                 ,Вязовой 14                                        ,1
1255,Палекс              ,Ульяновск           ,Грозненская 24                                    ,1
1266,Синапсис            ,Казань              ,Железноводская 20                                 ,2
1274,Феникс              ,Воронеж             ,Завалишина 23                                     ,1
1284,ИП Карачаров В.В.   ,Ярославль           ,Инженерная 1                                      ,2
1294,Синапсис            ,Ростов-на-Дону      ,Катерная 48                                       ,2
1304,Viva                ,Барнаул             ,Котина 24                                         ,3
1314,"ООО ""Петрикофф""     ",Новгород            ,Краснофлотская 22                                 ,3
1324,"ООО ""ВиК-инжиниринг""",Воронеж             ,Луначарского 49                                   ,2
1333,ВАЛСИ               ,Владивосток         ,Мамина 15                                         ,3
1343,ИП Кахраманов Э.Б.  ,Челябинск           ,Национальная 35                                   ,2
1353,"ООО ""ИРБИС-ВЕНТ""    ",Ижевск              ,Общественная 26                                   ,1
1363,"ООО ""Абсолют""       ",Екатеринбург        ,Павелецкая 37                                     ,3
1370,"ООО ""Петрикофф""     ",Уфа                 ,Паросиловой 50                                    ,1
1383,"ООО ""Сварожич""      ",Владивосток         ,Радистов 38                                       ,1
1393,Кварц               ,Челябинск           ,Садоводческая 37                                  ,1
1402,"ООО ""Эльтадор-М""    ",Тольятти            ,Серова 23                                         ,1
1412,"ООО ""Слог""          ",Новосибирск         ,Спасская 27                                       ,1
